ENOG410VA9E	ENSP00000351790, ENSP00000425556	ENSPTRP00000028462, ENSPTRP00000046961
ENOG410V4GH	ENSP00000363868, ENSP00000269080, ENSP00000301732, ENSP00000269081, ENSP00000344155, ENSP00000359245, ENSP00000272895, ENSP00000342216, ENSP00000411096, ENSP00000284425, ENSP00000376443, ENSP00000263094	ENSPTRP00000032770, ENSPTRP00000016286, ENSPTRP00000049117, ENSPTRP00000022036, ENSPTRP00000042439, ENSPTRP00000016272, ENSPTRP00000044984, ENSPTRP00000016277, ENSPTRP00000013070
ENOG410V4GB	ENSP00000367151	ENSPTRP00000053479
ENOG410V4GG	ENSP00000263033	ENSPTRP00000038001
ENOG410VDKZ	ENSP00000356886	ENSPTRP00000051598
ENOG410VDKS	ENSP00000318185	ENSPTRP00000040415
ENOG410VDKQ	ENSP00000241651	ENSPTRP00000044084
ENOG410VDK8	ENSP00000313816	ENSPTRP00000028539
ENOG410VK8X	ENSP00000341412	ENSPTRP00000007365
ENOG410V43G	ENSP00000261721, ENSP00000376337, ENSP00000255608, ENSP00000367471	ENSPTRP00000012623, ENSPTRP00000022731
ENOG410V43D	ENSP00000216951	ENSPTRP00000023030
ENOG410V43E	ENSP00000416015, ENSP00000256194	ENSPTRP00000024188, ENSPTRP00000005885
ENOG410V43B	ENSP00000264977, ENSP00000375080	ENSPTRP00000026587
ENOG410V43A	ENSP00000288235, ENSP00000460038, ENSP00000344871	ENSPTRP00000012180, ENSPTRP00000049036
ENOG410V43N	ENSP00000292616	ENSPTRP00000033454
ENOG410V43M	ENSP00000261292, ENSP00000309757	ENSPTRP00000034315, ENSPTRP00000017022
ENOG410V43J	ENSP00000449275, ENSP00000448715, ENSP00000359603, ENSP00000369889, ENSP00000264828, ENSP00000225964, ENSP00000363840, ENSP00000297268, ENSP00000348385, ENSP00000448931, ENSP00000447062, ENSP00000304408, ENSP00000447422, ENSP00000360882, ENSP00000448701	ENSPTRP00000047036, ENSPTRP00000041995, ENSPTRP00000033204, ENSPTRP00000017783, ENSPTRP00000036359
ENOG410V43K	ENSP00000199320	ENSPTRP00000028961
ENOG410V43H	ENSP00000253686	ENSPTRP00000025285
ENOG410V43I	ENSP00000299626	ENSPTRP00000007077
ENOG410V43V	ENSP00000377807, ENSP00000339207	ENSPTRP00000038400
ENOG410V43W	ENSP00000264230	ENSPTRP00000027668
ENOG410V43T	ENSP00000287706	ENSPTRP00000013307
ENOG410V43U	ENSP00000404151	ENSPTRP00000011575
ENOG410V43S	ENSP00000335397, ENSP00000330631	ENSPTRP00000014575
ENOG410V43P	ENSP00000308344	ENSPTRP00000016155
ENOG410V43Q	ENSP00000290776, ENSP00000198765, ENSP00000317257, ENSP00000216775, ENSP00000329748, ENSP00000244751, ENSP00000373343, ENSP00000411904, ENSP00000268720	ENSPTRP00000057407, ENSPTRP00000030935, ENSPTRP00000008242, ENSPTRP00000010504, ENSPTRP00000013913, ENSPTRP00000034892, ENSPTRP00000045244, ENSPTRP00000025159
ENOG410V43Z	ENSP00000355279, ENSP00000285896	ENSPTRP00000029810, ENSPTRP00000061148
ENOG410V43X	ENSP00000348668, ENSP00000269195, ENSP00000376465, ENSP00000436604, ENSP00000447852, ENSP00000376570, ENSP00000364150	ENSPTRP00000043056, ENSPTRP00000021512, ENSPTRP00000049150, ENSPTRP00000008459, ENSPTRP00000016954
ENOG410V43Y	ENSP00000369460, ENSP00000349594, ENSP00000385269, ENSP00000352162	ENSPTRP00000035622, ENSPTRP00000017919, ENSPTRP00000017713, ENSPTRP00000001244
ENOG410V7Q0	ENSP00000283309	ENSPTRP00000032127
ENOG410V437	ENSP00000419970	ENSPTRP00000033034
ENOG410V434	ENSP00000265026, ENSP00000448689	ENSPTRP00000008543, ENSPTRP00000027014
ENOG410V435	ENSP00000337425, ENSP00000458171	ENSPTRP00000025808
ENOG410V433	ENSP00000281474, ENSP00000349351	ENSPTRP00000050152, ENSPTRP00000036084
ENOG410V430	ENSP00000169551	ENSPTRP00000017178
ENOG410V431	ENSP00000440273, ENSP00000455175, ENSP00000321221	ENSPTRP00000053639, ENSPTRP00000033449
ENOG410V439	ENSP00000310042	ENSPTRP00000028727
ENOG410VK87	ENSP00000239878	ENSPTRP00000059765
ENOG410V7QE	ENSP00000358466, ENSP00000322594	ENSPTRP00000007306, ENSPTRP00000060322
ENOG410VJWG	ENSP00000431254, ENSP00000329312	ENSPTRP00000060622
ENOG410V5ZH	ENSP00000284885	ENSPTRP00000023779
ENOG410V5ZI	ENSP00000380349, ENSP00000355837, ENSP00000295006, ENSP00000271971, ENSP00000279247, ENSP00000381758	ENSPTRP00000003544, ENSPTRP00000006670, ENSPTRP00000003379, ENSPTRP00000056265, ENSPTRP00000058028
ENOG410V5ZK	ENSP00000361642	ENSPTRP00000052446
ENOG410V5ZM	ENSP00000432417	ENSPTRP00000006297
ENOG410V5ZN	ENSP00000449960	ENSPTRP00000043174
ENOG410V5ZA	ENSP00000357079	ENSPTRP00000057675
ENOG410V5ZB	ENSP00000200457, ENSP00000318089	ENSPTRP00000033404, ENSPTRP00000027063
ENOG410V5ZC	ENSP00000393776, ENSP00000252771	ENSPTRP00000018230, ENSPTRP00000029078
ENOG410V5ZE	ENSP00000342626, ENSP00000347294, ENSP00000333640	ENSPTRP00000031782, ENSPTRP00000034805, ENSPTRP00000023365
ENOG410V5ZF	ENSP00000297623	ENSPTRP00000035709
ENOG410V5ZX	ENSP00000308179	ENSPTRP00000001997
ENOG410V5ZY	ENSP00000384197	ENSPTRP00000050174, ENSPTRP00000026085
ENOG410V5ZZ	ENSP00000258062	ENSPTRP00000031840
ENOG410V5ZP	ENSP00000350297, ENSP00000281419	ENSPTRP00000035200, ENSPTRP00000020009
ENOG410V5ZQ	ENSP00000378887	ENSPTRP00000015173
ENOG410V5ZR	ENSP00000045083	ENSPTRP00000023427
ENOG410V5ZS	ENSP00000284268	ENSPTRP00000028723
ENOG410V5ZT	ENSP00000359300, ENSP00000469720, ENSP00000319052	ENSPTRP00000038570, ENSPTRP00000049475
ENOG410V5ZU	ENSP00000374152	ENSPTRP00000020694
ENOG410V5ZV	ENSP00000257789	ENSPTRP00000031448
ENOG410V5ZW	ENSP00000417580	ENSPTRP00000020017
ENOG410V5Z8	ENSP00000310722	ENSPTRP00000034701
ENOG410V5Z9	ENSP00000342848	ENSPTRP00000043465
ENOG410V5Z1	ENSP00000295463, ENSP00000295453, ENSP00000375881, ENSP00000363965	ENSPTRP00000022289, ENSPTRP00000022287, ENSPTRP00000000520
ENOG410V5Z2	ENSP00000394178	ENSPTRP00000021083
ENOG410V5Z3	ENSP00000287908, ENSP00000376822, ENSP00000369419	ENSPTRP00000033152, ENSPTRP00000021230, ENSPTRP00000047880
ENOG410V5Z5	ENSP00000443988	ENSPTRP00000009363
ENOG410V5Z7	ENSP00000344683	ENSPTRP00000060664
ENOG410VAW8	ENSP00000339726	ENSPTRP00000041964
ENOG410VAW6	ENSP00000414390	ENSPTRP00000007245
ENOG410VAW3	ENSP00000346442	ENSPTRP00000044240
ENOG410VAW1	ENSP00000306968	ENSPTRP00000021608
ENOG410VAW0	ENSP00000355204	ENSPTRP00000034709
ENOG410VAWN	ENSP00000261749	ENSPTRP00000012581
ENOG410VAWM	ENSP00000370023	ENSPTRP00000020159
ENOG410VAWK	ENSP00000315263	ENSPTRP00000049917, ENSPTRP00000060721
ENOG410VAWI	ENSP00000392257	ENSPTRP00000031569
ENOG410VAWG	ENSP00000289388	ENSPTRP00000022080
ENOG410VAWF	ENSP00000258098	ENSPTRP00000020693
ENOG410VAWE	ENSP00000282516	ENSPTRP00000048198
ENOG410VAWB	ENSP00000299413	ENSPTRP00000006087
ENOG410VAWA	ENSP00000410769	ENSPTRP00000026477
ENOG410VAWY	ENSP00000321853	ENSPTRP00000014569
ENOG410VAWX	ENSP00000278505, ENSP00000461026	ENSPTRP00000060757
ENOG410VAWW	ENSP00000458262, ENSP00000328992	ENSPTRP00000023857
ENOG410VAWV	ENSP00000358316	ENSPTRP00000005219
ENOG410VAWU	ENSP00000244669	ENSPTRP00000050168
ENOG410VAWT	ENSP00000258770	ENSPTRP00000032737
ENOG410VAWS	ENSP00000367608	ENSPTRP00000035776
ENOG410VAWR	ENSP00000355840	ENSPTRP00000003377
ENOG410VAWQ	ENSP00000400471, ENSP00000379901	ENSPTRP00000032355, ENSPTRP00000008323
ENOG410VAWP	ENSP00000431987, ENSP00000332969, ENSP00000330216, ENSP00000327604, ENSP00000272395, ENSP00000395086, ENSP00000388299	ENSPTRP00000059923, ENSPTRP00000006229, ENSPTRP00000054547, ENSPTRP00000006238, ENSPTRP00000006240, ENSPTRP00000040843, ENSPTRP00000051815, ENSPTRP00000007166
ENOG410VXS5	ENSP00000367111	ENSPTRP00000047435
ENOG410VXSS	ENSP00000325219	ENSPTRP00000060705
ENOG410VXSU	ENSP00000328874, ENSP00000381127	ENSPTRP00000034508
ENOG410VJIG	ENSP00000406145	ENSPTRP00000061391
ENOG410VJIJ	ENSP00000447438, ENSP00000448874, ENSP00000447045, ENSP00000448748, ENSP00000372910, ENSP00000449142	ENSPTRP00000030683
ENOG410VJIW	ENSP00000349493	ENSPTRP00000043872
ENOG410VJIS	ENSP00000366234	ENSPTRP00000049840
ENOG410VJIZ	ENSP00000271638	ENSPTRP00000002223
ENOG410VJI6	ENSP00000368165	ENSPTRP00000048782
ENOG410VJI5	ENSP00000371715	ENSPTRP00000013095
ENOG410VJI2	ENSP00000369959	ENSPTRP00000022575
ENOG410V6J5	ENSP00000372723, ENSP00000402406, ENSP00000355325, ENSP00000404585, ENSP00000406878, ENSP00000364016, ENSP00000414770, ENSP00000394155, ENSP00000406797	ENSPTRP00000010438, ENSPTRP00000030774
ENOG410V6JW	ENSP00000417470, ENSP00000367300	ENSPTRP00000047574, ENSPTRP00000033975
ENOG410WDSU	ENSP00000313691	ENSPTRP00000029373
ENOG410V9IE	ENSP00000368881	ENSPTRP00000003854
ENOG410V9I6	ENSP00000335287	ENSPTRP00000035010
ENOG410VBUR	ENSP00000284136	ENSPTRP00000033108
ENOG410VBUP	ENSP00000296529	ENSPTRP00000028413
ENOG410VKMS	ENSP00000240652	ENSPTRP00000008119
ENOG410VKMZ	ENSP00000308815	ENSPTRP00000035734
ENOG410VKMY	ENSP00000321260	ENSPTRP00000006561
ENOG410VKMD	ENSP00000219244	ENSPTRP00000013921
ENOG410VKMC	ENSP00000398734, ENSP00000414952, ENSP00000390931, ENSP00000403456, ENSP00000259845, ENSP00000373022	ENSPTRP00000030626
ENOG410VKMA	ENSP00000366466	ENSPTRP00000045832
ENOG410VBU1	ENSP00000340660	ENSPTRP00000048580
ENOG410V9N9	ENSP00000289746	ENSPTRP00000014447
ENOG410WC1X	ENSP00000317943	ENSPTRP00000001561
ENOG410WC1Y	ENSP00000400587	ENSPTRP00000060226
ENOG410WC1T	ENSP00000364865	ENSPTRP00000053335
ENOG410WC1V	ENSP00000472287, ENSP00000386149	ENSPTRP00000059782
ENOG410WC1P	ENSP00000406521	ENSPTRP00000057837
ENOG410WC1M	ENSP00000403688	ENSPTRP00000060163
ENOG410WC1N	ENSP00000410360	ENSPTRP00000059969
ENOG410WC1H	ENSP00000427764	ENSPTRP00000061390
ENOG410WC1I	ENSP00000457704	ENSPTRP00000057239
ENOG410WC1G	ENSP00000383520	ENSPTRP00000059193
ENOG410WC1A	ENSP00000422101	ENSPTRP00000060118
ENOG410WC1B	ENSP00000434236	ENSPTRP00000009891
ENOG410WC1C	ENSP00000384224	ENSPTRP00000060809
ENOG410V51I	ENSP00000303468	ENSPTRP00000027482
ENOG410V51H	ENSP00000339016	ENSPTRP00000004742
ENOG410V51K	ENSP00000351981, ENSP00000354829	ENSPTRP00000004317, ENSPTRP00000041167
ENOG410V51J	ENSP00000321195, ENSP00000357475, ENSP00000284509, ENSP00000283558, ENSP00000332756	ENSPTRP00000038477, ENSPTRP00000040761, ENSPTRP00000012069, ENSPTRP00000010278, ENSPTRP00000026946
ENOG410V51M	ENSP00000360817	ENSPTRP00000023404
ENOG410V51N	ENSP00000358807	ENSPTRP00000001851
ENOG410V51A	ENSP00000354571, ENSP00000340979	ENSPTRP00000028380, ENSPTRP00000045260
ENOG410V51D	ENSP00000469445, ENSP00000429344, ENSP00000359286	ENSPTRP00000039091, ENSPTRP00000060783
ENOG410V51G	ENSP00000354040	ENSPTRP00000003778
ENOG410V51F	ENSP00000312599	ENSPTRP00000034830
ENOG410V51Y	ENSP00000223293, ENSP00000302833	ENSPTRP00000047559, ENSPTRP00000049047
ENOG410V51Z	ENSP00000217305	ENSPTRP00000022551
ENOG410V51Q	ENSP00000307449, ENSP00000246190, ENSP00000387380	ENSPTRP00000022978, ENSPTRP00000034912, ENSPTRP00000014345
ENOG410V51S	ENSP00000007414, ENSP00000315410, ENSP00000376293	ENSPTRP00000042073, ENSPTRP00000032463, ENSPTRP00000059063
ENOG410V51U	ENSP00000244051	ENSPTRP00000023439
ENOG410V51V	ENSP00000337461	ENSPTRP00000000603
ENOG410V9NY	ENSP00000293404	ENSPTRP00000015750
ENOG410V519	ENSP00000404787, ENSP00000373141, ENSP00000366352, ENSP00000399062, ENSP00000373043, ENSP00000392324, ENSP00000399592, ENSP00000403427	ENSPTRP00000057876
ENOG410V518	ENSP00000251089, ENSP00000355929	ENSPTRP00000011160, ENSPTRP00000003315
ENOG410V511	ENSP00000341504	ENSPTRP00000015800
ENOG410V510	ENSP00000260505, ENSP00000377043, ENSP00000345294	ENSPTRP00000058601, ENSPTRP00000001552, ENSPTRP00000051272
ENOG410V513	ENSP00000265773, ENSP00000350720, ENSP00000239027	ENSPTRP00000004849, ENSPTRP00000017884
ENOG410V512	ENSP00000297282, ENSP00000279027, ENSP00000461823, ENSP00000406220, ENSP00000194130, ENSP00000392411	ENSPTRP00000033626, ENSPTRP00000033801, ENSPTRP00000015222, ENSPTRP00000023355, ENSPTRP00000014756
ENOG410V515	ENSP00000354848	ENSPTRP00000046030
ENOG410V514	ENSP00000457802, ENSP00000376684	ENSPTRP00000033908
ENOG410V517	ENSP00000348308	ENSPTRP00000000055
ENOG410V516	ENSP00000299565, ENSP00000289957	ENSPTRP00000012554, ENSPTRP00000054732
ENOG410V62X	ENSP00000303887, ENSP00000255448, ENSP00000394484	ENSPTRP00000009841, ENSPTRP00000025422, ENSPTRP00000028330
ENOG410V62U	ENSP00000364938	ENSPTRP00000052806
ENOG410V62P	ENSP00000403536	ENSPTRP00000060820
ENOG410V62J	ENSP00000312397, ENSP00000424198	ENSPTRP00000029536, ENSPTRP00000053274
ENOG410V62F	ENSP00000348461, ENSP00000304283, ENSP00000249071	ENSPTRP00000043196
ENOG410V62B	ENSP00000219905	ENSPTRP00000011861
ENOG410V628	ENSP00000301765	ENSPTRP00000060557
ENOG410V4NU	ENSP00000362144	ENSPTRP00000039641
ENOG410V4NT	ENSP00000337168, ENSP00000338481, ENSP00000341138	ENSPTRP00000023095, ENSPTRP00000031744, ENSPTRP00000016756
ENOG410V4NZ	ENSP00000365198	ENSPTRP00000057344
ENOG410V4NC	ENSP00000264160	ENSPTRP00000021375
ENOG410V4ND	ENSP00000295131	ENSPTRP00000048968
ENOG410V4NF	ENSP00000272217, ENSP00000256496	ENSPTRP00000025125
ENOG410V4NH	ENSP00000351717, ENSP00000355637	ENSPTRP00000045424, ENSPTRP00000003536
ENOG410V4NK	ENSP00000333275, ENSP00000320447	ENSPTRP00000025284, ENSPTRP00000009017
ENOG410V4N1	ENSP00000470652	ENSPTRP00000039053
ENOG410V4N2	ENSP00000358763, ENSP00000358747, ENSP00000356198, ENSP00000255409, ENSP00000341828	ENSPTRP00000001896, ENSPTRP00000003133, ENSPTRP00000041993, ENSPTRP00000001888
ENOG410V4N7	ENSP00000360163, ENSP00000283131	ENSPTRP00000028278
ENOG410V4N6	ENSP00000301727	ENSPTRP00000041605
ENOG410V4N9	ENSP00000286301	ENSPTRP00000029749
ENOG410VDR4	ENSP00000295702	ENSPTRP00000002439
ENOG410VMZ6	ENSP00000350856	ENSPTRP00000053193
ENOG410VMZW	ENSP00000316101	ENSPTRP00000007516
ENOG410VMZZ	ENSP00000245983	ENSPTRP00000052437
ENOG410VMZC	ENSP00000364776, ENSP00000472887, ENSP00000364795, ENSP00000471925	ENSPTRP00000047407
ENOG410VMZI	ENSP00000261811	ENSPTRP00000029593
ENOG410VB20	ENSP00000411932, ENSP00000356257	ENSPTRP00000047657, ENSPTRP00000003081
ENOG410VWBV	ENSP00000356039	ENSPTRP00000049492
ENOG410VI3R	ENSP00000360133	ENSPTRP00000001410
ENOG410VI3W	ENSP00000259989	ENSPTRP00000053680
ENOG410VI3Z	ENSP00000417182, ENSP00000447631, ENSP00000446930, ENSP00000446847, ENSP00000392132	ENSPTRP00000054575
ENOG410VI32	ENSP00000260270	ENSPTRP00000007328
ENOG410WDFZ	ENSP00000296122, ENSP00000326031	ENSPTRP00000009251, ENSPTRP00000020246
ENOG410WDFB	ENSP00000279387	ENSPTRP00000053618
ENOG410V6H9	ENSP00000226225, ENSP00000311202, ENSP00000459080, ENSP00000228495	ENSPTRP00000013636, ENSPTRP00000052970
ENOG410V6H8	ENSP00000354652, ENSP00000458652, ENSP00000363431, ENSP00000458179	ENSPTRP00000028426, ENSPTRP00000050668
ENOG410V6H1	ENSP00000338010	ENSPTRP00000013526
ENOG410V6H0	ENSP00000369513	ENSPTRP00000048326
ENOG410V6H3	ENSP00000255226, ENSP00000390637	ENSPTRP00000016983, ENSPTRP00000016979
ENOG410V6H2	ENSP00000402152, ENSP00000370381, ENSP00000262461	ENSPTRP00000059043, ENSPTRP00000029417, ENSPTRP00000013899
ENOG410V6H5	ENSP00000384198	ENSPTRP00000047989
ENOG410V6H4	ENSP00000262768	ENSPTRP00000061107
ENOG410V6H7	ENSP00000317578, ENSP00000312262	ENSPTRP00000049774, ENSPTRP00000006793
ENOG410V6H6	ENSP00000272134, ENSP00000355785	ENSPTRP00000003450
ENOG410V6HI	ENSP00000446916, ENSP00000455032	ENSPTRP00000033891
ENOG410V6HK	ENSP00000348381, ENSP00000264436, ENSP00000264758	ENSPTRP00000020655, ENSPTRP00000027304, ENSPTRP00000046282
ENOG410V6HM	ENSP00000262633	ENSPTRP00000018580
ENOG410V6HN	ENSP00000299563	ENSPTRP00000006999
ENOG410V6HA	ENSP00000458585, ENSP00000260302, ENSP00000322788, ENSP00000299855, ENSP00000279441, ENSP00000460695, ENSP00000236826, ENSP00000458496, ENSP00000260229	ENSPTRP00000007262, ENSPTRP00000007258, ENSPTRP00000007259, ENSPTRP00000007256, ENSPTRP00000007260, ENSPTRP00000007265
ENOG410V6HC	ENSP00000309415, ENSP00000242285	ENSPTRP00000035797
ENOG410V6HB	ENSP00000228307, ENSP00000378332, ENSP00000431284	ENSPTRP00000006351, ENSPTRP00000009381, ENSPTRP00000047049
ENOG410V6HE	ENSP00000221455, ENSP00000417901	ENSPTRP00000041717, ENSPTRP00000010953
ENOG410V6HD	ENSP00000297156	ENSPTRP00000029505
ENOG410V6HG	ENSP00000295598, ENSP00000218548, ENSP00000357060, ENSP00000262623, ENSP00000354490, ENSP00000302397	ENSPTRP00000009734, ENSPTRP00000002591, ENSPTRP00000018575, ENSPTRP00000041092
ENOG410V6HF	ENSP00000260665	ENSPTRP00000020395
ENOG410V6HY	ENSP00000384144, ENSP00000458419	ENSPTRP00000007480
ENOG410V6HX	ENSP00000264360	ENSPTRP00000028237
ENOG410V6HZ	ENSP00000258821	ENSPTRP00000010332
ENOG410V6HQ	ENSP00000361597	ENSPTRP00000023314
ENOG410V6HP	ENSP00000328358	ENSPTRP00000008504
ENOG410V6HR	ENSP00000309092	ENSPTRP00000025773
ENOG410V6HU	ENSP00000356540	ENSPTRP00000031873
ENOG410V6HT	ENSP00000373873, ENSP00000293218	ENSPTRP00000016408, ENSPTRP00000053809
ENOG410V6HW	ENSP00000378360	ENSPTRP00000006431
ENOG410V6HV	ENSP00000414670	ENSPTRP00000026063
ENOG410VC7G	ENSP00000262662	ENSPTRP00000001246
ENOG410VBSM	ENSP00000379294	ENSPTRP00000029223
ENOG410VBSN	ENSP00000342538	ENSPTRP00000053212
ENOG410VBSH	ENSP00000222990	ENSPTRP00000032199
ENOG410VBSI	ENSP00000341327, ENSP00000305133	ENSPTRP00000061344, ENSPTRP00000010802
ENOG410VBSJ	ENSP00000270590	ENSPTRP00000048518
ENOG410VBSD	ENSP00000354341	ENSPTRP00000027935
ENOG410VBSF	ENSP00000229243	ENSPTRP00000007831
ENOG410VBSA	ENSP00000362979	ENSPTRP00000023101
ENOG410VBSB	ENSP00000470937, ENSP00000264020	ENSPTRP00000007458
ENOG410VBSX	ENSP00000320232	ENSPTRP00000010219
ENOG410VBSY	ENSP00000225573	ENSPTRP00000015884
ENOG410VBSZ	ENSP00000323670, ENSP00000328732	ENSPTRP00000017492, ENSPTRP00000017011
ENOG410VBST	ENSP00000352167	ENSPTRP00000011454
ENOG410VBSU	ENSP00000294172, ENSP00000469776, ENSP00000331471, ENSP00000361835, ENSP00000472530	ENSPTRP00000006511, ENSPTRP00000038049
ENOG410VBSV	ENSP00000381577	ENSPTRP00000020540
ENOG410VBSW	ENSP00000414880, ENSP00000390784, ENSP00000372696, ENSP00000394876, ENSP00000398660	ENSPTRP00000050283
ENOG410VBSQ	ENSP00000333537	ENSPTRP00000010397
ENOG410VBSS	ENSP00000261835	ENSPTRP00000011444
ENOG410VBS8	ENSP00000263897	ENSPTRP00000018192
ENOG410VBS5	ENSP00000312697	ENSPTRP00000046996
ENOG410VBS6	ENSP00000367197	ENSPTRP00000030372
ENOG410VBS7	ENSP00000363516, ENSP00000329454	ENSPTRP00000031159, ENSPTRP00000000607
ENOG410VBS2	ENSP00000427550	ENSPTRP00000016823
ENOG410V8M9	ENSP00000302079	ENSPTRP00000007901
ENOG410V8AG	ENSP00000263918, ENSP00000375777, ENSP00000350071	ENSPTRP00000019206, ENSPTRP00000043059, ENSPTRP00000010587
ENOG410VDSC	ENSP00000355428	ENSPTRP00000003755
ENOG410VKPX	ENSP00000336543	ENSPTRP00000058086
ENOG410VKPB	ENSP00000370058	ENSPTRP00000049435
ENOG410VKP9	ENSP00000318395	ENSPTRP00000028956
ENOG410WCJU	ENSP00000345405	ENSPTRP00000018728
ENOG410WCJ8	ENSP00000265007	ENSPTRP00000029846
ENOG410WCJ7	ENSP00000297316	ENSPTRP00000034688
ENOG410WE5R	ENSP00000347161	ENSPTRP00000043779
ENOG410VMA0	ENSP00000328335	ENSPTRP00000038409
ENOG410VMA5	ENSP00000431116	ENSPTRP00000060710
ENOG410VMA4	ENSP00000370588	ENSPTRP00000047508
ENOG410VMAS	ENSP00000362968	ENSPTRP00000050235
ENOG410VMAW	ENSP00000289373	ENSPTRP00000039047
