ENOG410VA9E	ENSP00000425556, ENSP00000351790	ENSMUSP00000034057, ENSMUSP00000093240
ENOG410V43D	ENSP00000216951	ENSMUSP00000078630
ENOG410V43E	ENSP00000416015, ENSP00000256194	ENSMUSP00000096056, ENSMUSP00000047639, ENSMUSP00000076402
ENOG410V43B	ENSP00000264977, ENSP00000375080	ENSMUSP00000075327
ENOG410V43A	ENSP00000288235, ENSP00000460038, ENSP00000344871	ENSMUSP00000084887, ENSMUSP00000034745
ENOG410V43N	ENSP00000292616	ENSMUSP00000006301
ENOG410V43M	ENSP00000261292, ENSP00000309757	ENSMUSP00000066536, ENSMUSP00000015712
ENOG410V43J	ENSP00000448701, ENSP00000447062, ENSP00000297268, ENSP00000448715, ENSP00000348385, ENSP00000369889, ENSP00000360882, ENSP00000447422, ENSP00000225964, ENSP00000449275, ENSP00000304408, ENSP00000363840, ENSP00000264828, ENSP00000359603, ENSP00000448931	ENSMUSP00000031668, ENSMUSP00000028280, ENSMUSP00000089793, ENSMUSP00000001547, ENSMUSP00000029848, ENSMUSP00000004201, ENSMUSP00000043816, ENSMUSP00000085192, ENSMUSP00000084772
ENOG410V43K	ENSP00000199320	ENSMUSP00000022203
ENOG410V43H	ENSP00000253686	ENSMUSP00000114402
ENOG410V43I	ENSP00000299626	ENSMUSP00000095901
ENOG410V43V	ENSP00000339207, ENSP00000377807	ENSMUSP00000069112, ENSMUSP00000097152
ENOG410V43W	ENSP00000264230	ENSMUSP00000045948
ENOG410V43T	ENSP00000287706	ENSMUSP00000023362
ENOG410V43U	ENSP00000404151	ENSMUSP00000098580
ENOG410V43S	ENSP00000330631, ENSP00000335397	ENSMUSP00000099572, ENSMUSP00000057725
ENOG410V43P	ENSP00000308344	ENSMUSP00000058168
ENOG410V43Q	ENSP00000373343, ENSP00000268720, ENSP00000198765, ENSP00000290776, ENSP00000216775, ENSP00000411904, ENSP00000317257, ENSP00000329748, ENSP00000244751	ENSMUSP00000029885, ENSMUSP00000073847, ENSMUSP00000049663, ENSMUSP00000044416, ENSMUSP00000067774, ENSMUSP00000045755, ENSMUSP00000042159, ENSMUSP00000024805, ENSMUSP00000105236
ENOG410V43Z	ENSP00000285896, ENSP00000355279	ENSMUSP00000020822, ENSMUSP00000034012
ENOG410V43X	ENSP00000348668, ENSP00000436604, ENSP00000447852, ENSP00000364150, ENSP00000376570, ENSP00000376465, ENSP00000269195	ENSMUSP00000000430, ENSMUSP00000045721, ENSMUSP00000125315, ENSMUSP00000028378, ENSMUSP00000063464, ENSMUSP00000056705
ENOG410V43Y	ENSP00000352162, ENSP00000349594, ENSP00000369460, ENSP00000385269	ENSMUSP00000096549, ENSMUSP00000003501, ENSMUSP00000102207, ENSMUSP00000099863
ENOG410V7Q0	ENSP00000283309	ENSMUSP00000052202
ENOG410V437	ENSP00000419970	ENSMUSP00000005651
ENOG410V434	ENSP00000448689, ENSP00000265026	ENSMUSP00000047388, ENSMUSP00000023812
ENOG410V435	ENSP00000458171, ENSP00000337425	ENSMUSP00000042667
ENOG410V433	ENSP00000349351, ENSP00000281474	ENSMUSP00000084039, ENSMUSP00000039394
ENOG410V430	ENSP00000169551	ENSMUSP00000025547
ENOG410V431	ENSP00000321221, ENSP00000440273, ENSP00000455175	ENSMUSP00000005188, ENSMUSP00000032978
ENOG410V439	ENSP00000310042	ENSMUSP00000059678
ENOG410VK87	ENSP00000239878	ENSMUSP00000118478
ENOG410V7QE	ENSP00000322594, ENSP00000358466	ENSMUSP00000033545, ENSMUSP00000063804
ENOG410VJWG	ENSP00000329312, ENSP00000431254	ENSMUSP00000097713
ENOG410V5ZH	ENSP00000284885	ENSMUSP00000023566
ENOG410V5ZI	ENSP00000279247, ENSP00000355837, ENSP00000271971, ENSP00000380349, ENSP00000381758, ENSP00000295006	ENSMUSP00000090717, ENSMUSP00000068895, ENSMUSP00000025891, ENSMUSP00000113132, ENSMUSP00000028749, ENSMUSP00000047164
ENOG410V5ZK	ENSP00000361642	ENSMUSP00000030385
ENOG410V5ZM	ENSP00000432417	ENSMUSP00000053309, ENSMUSP00000080828, ENSMUSP00000079522, ENSMUSP00000076311
ENOG410V5ZN	ENSP00000449960	ENSMUSP00000023818
ENOG410V5ZA	ENSP00000357079	ENSMUSP00000083057
ENOG410V5ZB	ENSP00000318089, ENSP00000200457	ENSMUSP00000036304, ENSMUSP00000024119
ENOG410V5ZC	ENSP00000393776, ENSP00000252771	ENSMUSP00000042959
ENOG410V5ZE	ENSP00000342626, ENSP00000347294, ENSP00000333640	ENSMUSP00000066244, ENSMUSP00000090335, ENSMUSP00000126383
ENOG410V5ZF	ENSP00000297623	ENSMUSP00000030152
ENOG410V5ZX	ENSP00000308179	ENSMUSP00000060613
ENOG410V5ZY	ENSP00000384197	ENSMUSP00000133159
ENOG410V5ZP	ENSP00000350297, ENSP00000281419	ENSMUSP00000063217, ENSMUSP00000134825
ENOG410V5ZQ	ENSP00000378887	ENSMUSP00000044924
ENOG410V5ZR	ENSP00000045083	ENSMUSP00000096672
ENOG410V5ZS	ENSP00000284268	ENSMUSP00000022875
ENOG410V5ZT	ENSP00000469720, ENSP00000319052, ENSP00000359300	ENSMUSP00000110198, ENSMUSP00000057392
ENOG410V5ZU	ENSP00000374152	ENSMUSP00000048537
ENOG410V5ZV	ENSP00000257789	ENSMUSP00000048319
ENOG410V5ZW	ENSP00000417580	ENSMUSP00000076090
ENOG410V5Z8	ENSP00000310722	ENSMUSP00000100789
ENOG410V5Z9	ENSP00000342848	ENSMUSP00000037423
ENOG410V5Z1	ENSP00000375881, ENSP00000295453, ENSP00000363965, ENSP00000295463	ENSMUSP00000108895, ENSMUSP00000037497, ENSMUSP00000027455, ENSMUSP00000030551
ENOG410V5Z2	ENSP00000394178	ENSMUSP00000110413
ENOG410V5Z3	ENSP00000376822, ENSP00000287908, ENSP00000369419	ENSMUSP00000015797, ENSMUSP00000111081, ENSMUSP00000108258
ENOG410V5Z5	ENSP00000443988	ENSMUSP00000130535
ENOG410V5Z7	ENSP00000344683	ENSMUSP00000099441
ENOG410VAW7	ENSP00000303423	ENSMUSP00000016138
ENOG410VAW6	ENSP00000414390	ENSMUSP00000063450
ENOG410VAW3	ENSP00000346442	ENSMUSP00000032396
ENOG410VAW1	ENSP00000306968	ENSMUSP00000099752
ENOG410VAW0	ENSP00000355204	ENSMUSP00000062734
ENOG410VAWN	ENSP00000261749	ENSMUSP00000069228
ENOG410VAWM	ENSP00000370023	ENSMUSP00000120976
ENOG410VAWK	ENSP00000315263	ENSMUSP00000012028
ENOG410VAWI	ENSP00000392257	ENSMUSP00000101146
ENOG410VAWG	ENSP00000289388	ENSMUSP00000095303
ENOG410VAWF	ENSP00000258098	ENSMUSP00000058305
ENOG410VAWE	ENSP00000282516	ENSMUSP00000059385
ENOG410VAWB	ENSP00000299413	ENSMUSP00000099633
ENOG410VAWA	ENSP00000410769	ENSMUSP00000032138
ENOG410VAWY	ENSP00000321853	ENSMUSP00000048704
ENOG410VAWX	ENSP00000461026, ENSP00000278505	ENSMUSP00000127751
ENOG410VAWW	ENSP00000328992, ENSP00000458262	ENSMUSP00000113835
ENOG410VAWV	ENSP00000358316	ENSMUSP00000035440
ENOG410VAWU	ENSP00000244669	ENSMUSP00000047402
ENOG410VAWT	ENSP00000258770	ENSMUSP00000000394
ENOG410VAWS	ENSP00000367608	ENSMUSP00000030183
ENOG410VAWR	ENSP00000355840	ENSMUSP00000095053
ENOG410VAWQ	ENSP00000379901, ENSP00000400471	ENSMUSP00000031556, ENSMUSP00000069764
ENOG410VAWP	ENSP00000330216, ENSP00000388299, ENSP00000327604, ENSP00000395086, ENSP00000332969, ENSP00000272395, ENSP00000431987	ENSMUSP00000126594, ENSMUSP00000129255, ENSMUSP00000127527
ENOG410VJIG	ENSP00000406145	ENSMUSP00000097051
ENOG410VJIJ	ENSP00000449142, ENSP00000447045, ENSP00000448748, ENSP00000447438, ENSP00000448874, ENSP00000372910	ENSMUSP00000013910
ENOG410VJIW	ENSP00000349493	ENSMUSP00000024015
ENOG410VJIS	ENSP00000366234	ENSMUSP00000031389
ENOG410VJIZ	ENSP00000271638	ENSMUSP00000029515
ENOG410VJI6	ENSP00000368165	ENSMUSP00000096185
ENOG410VJI5	ENSP00000371715	ENSMUSP00000064663, ENSMUSP00000085966, ENSMUSP00000024940, ENSMUSP00000024939, ENSMUSP00000111088
ENOG410VJI2	ENSP00000369959	ENSMUSP00000055299
ENOG410VJI9	ENSP00000456064	ENSMUSP00000038976
ENOG410V6J5	ENSP00000402406, ENSP00000404585, ENSP00000364016, ENSP00000372723, ENSP00000406797, ENSP00000394155, ENSP00000414770, ENSP00000355325, ENSP00000406878	ENSMUSP00000022803, ENSMUSP00000025196
ENOG410V6JW	ENSP00000417470, ENSP00000367300	ENSMUSP00000057495
ENOG410V9IE	ENSP00000368881	ENSMUSP00000043614
ENOG410V9I6	ENSP00000335287	ENSMUSP00000052521
ENOG410VBUR	ENSP00000284136	ENSMUSP00000030868
ENOG410VBUP	ENSP00000296529	ENSMUSP00000029568
ENOG410VKMS	ENSP00000240652	ENSMUSP00000043956
ENOG410VKMZ	ENSP00000308815	ENSMUSP00000137582, ENSMUSP00000137353, ENSMUSP00000126762, ENSMUSP00000111568, ENSMUSP00000100022
ENOG410VKMY	ENSP00000321260	ENSMUSP00000040717
ENOG410VKMD	ENSP00000219244	ENSMUSP00000034232
ENOG410VKMC	ENSP00000414952, ENSP00000373022, ENSP00000259845, ENSP00000403456, ENSP00000390931, ENSP00000398734	ENSMUSP00000025273
ENOG410VKMA	ENSP00000366466	ENSMUSP00000030839
ENOG410V9N9	ENSP00000289746	ENSMUSP00000034443
ENOG410V51I	ENSP00000303468	ENSMUSP00000031077
ENOG410V51H	ENSP00000339016	ENSMUSP00000069962
ENOG410V51K	ENSP00000351981, ENSP00000354829	ENSMUSP00000097114, ENSMUSP00000087713
ENOG410V51J	ENSP00000283558, ENSP00000332756, ENSP00000321195, ENSP00000284509, ENSP00000357475	ENSMUSP00000088779, ENSMUSP00000103575, ENSMUSP00000103019, ENSMUSP00000099066
ENOG410V51M	ENSP00000360817	ENSMUSP00000049404
ENOG410V51N	ENSP00000358807	ENSMUSP00000014747
ENOG410V51A	ENSP00000354571, ENSP00000340979	ENSMUSP00000094396
ENOG410V51D	ENSP00000469445, ENSP00000429344, ENSP00000359286	ENSMUSP00000054177, ENSMUSP00000086646
ENOG410V51G	ENSP00000354040	ENSMUSP00000021574
ENOG410V51F	ENSP00000312599	ENSMUSP00000135483
ENOG410V51Y	ENSP00000223293, ENSP00000302833	ENSMUSP00000062108
ENOG410V51Z	ENSP00000217305	ENSMUSP00000028883
ENOG410V51Q	ENSP00000387380, ENSP00000307449, ENSP00000246190	ENSMUSP00000095966, ENSMUSP00000000895, ENSMUSP00000038165
ENOG410V51S	ENSP00000007414, ENSP00000376293, ENSP00000315410	ENSMUSP00000077123, ENSMUSP00000110112, ENSMUSP00000087474
ENOG410V51U	ENSP00000244051	ENSMUSP00000096670
ENOG410V51V	ENSP00000337461	ENSMUSP00000067647
ENOG410V9NY	ENSP00000293404	ENSMUSP00000050258
ENOG410V519	ENSP00000399592, ENSP00000399062, ENSP00000373141, ENSP00000404787, ENSP00000403427, ENSP00000373043, ENSP00000366352, ENSP00000392324	ENSMUSP00000077338, ENSMUSP00000094186, ENSMUSP00000054070, ENSMUSP00000065196, ENSMUSP00000086263
ENOG410V518	ENSP00000251089, ENSP00000355929	ENSMUSP00000021682, ENSMUSP00000064556
ENOG410V511	ENSP00000341504	ENSMUSP00000021313
ENOG410V510	ENSP00000377043, ENSP00000345294, ENSP00000260505	ENSMUSP00000127778, ENSMUSP00000129369, ENSMUSP00000062795
ENOG410V513	ENSP00000239027, ENSP00000350720, ENSP00000265773	ENSMUSP00000025965, ENSMUSP00000096547, ENSMUSP00000025862
ENOG410V512	ENSP00000406220, ENSP00000194130, ENSP00000461823, ENSP00000279027, ENSP00000392411, ENSP00000297282	ENSMUSP00000031868, ENSMUSP00000001122, ENSMUSP00000021161, ENSMUSP00000031713, ENSMUSP00000029208
ENOG410V515	ENSP00000354848	ENSMUSP00000065160
ENOG410V514	ENSP00000376684, ENSP00000457802	ENSMUSP00000110380
ENOG410V517	ENSP00000348308	ENSMUSP00000030937
ENOG410V516	ENSP00000289957, ENSP00000299565	ENSMUSP00000091365, ENSMUSP00000052297
ENOG410V62X	ENSP00000303887, ENSP00000255448, ENSP00000394484	ENSMUSP00000107510, ENSMUSP00000029719, ENSMUSP00000050034
ENOG410V62U	ENSP00000364938	ENSMUSP00000058412
ENOG410V62J	ENSP00000424198, ENSP00000312397	ENSMUSP00000034017, ENSMUSP00000089173
ENOG410V62H	ENSP00000337946	ENSMUSP00000044376
ENOG410V62F	ENSP00000304283, ENSP00000249071, ENSP00000348461	ENSMUSP00000036384, ENSMUSP00000079380, ENSMUSP00000018156
ENOG410V62B	ENSP00000219905	ENSMUSP00000106401
ENOG410V628	ENSP00000301765	ENSMUSP00000085264
ENOG410V4NU	ENSP00000362144	ENSMUSP00000020312
ENOG410V4NT	ENSP00000337168, ENSP00000341138, ENSP00000338481	ENSMUSP00000029155, ENSMUSP00000079098, ENSMUSP00000055122
ENOG410V4NC	ENSP00000264160	ENSMUSP00000043103
ENOG410V4ND	ENSP00000295131	ENSMUSP00000044913
ENOG410V4NG	ENSP00000335062	ENSMUSP00000027507
ENOG410V4NF	ENSP00000272217, ENSP00000256496	ENSMUSP00000027684, ENSMUSP00000032196
ENOG410V4NH	ENSP00000351717, ENSP00000355637	ENSMUSP00000075011, ENSMUSP00000072826
ENOG410V4NK	ENSP00000333275, ENSP00000320447	ENSMUSP00000109087, ENSMUSP00000089858
ENOG410V4N1	ENSP00000470652	ENSMUSP00000115754
ENOG410V4N2	ENSP00000255409, ENSP00000358763, ENSP00000341828, ENSP00000358747, ENSP00000356198	ENSMUSP00000000573, ENSMUSP00000078134, ENSMUSP00000080717, ENSMUSP00000083666
ENOG410V4N7	ENSP00000360163, ENSP00000283131	ENSMUSP00000044361, ENSMUSP00000076769
ENOG410V4N6	ENSP00000301727	ENSMUSP00000062344
ENOG410V4N9	ENSP00000286301	ENSMUSP00000025523
ENOG410VDR4	ENSP00000295702	ENSMUSP00000045456
ENOG410VB20	ENSP00000356257, ENSP00000411932	ENSMUSP00000061597, ENSMUSP00000031694
ENOG410VI3R	ENSP00000360133	ENSMUSP00000117153
ENOG410VI3Z	ENSP00000392132, ENSP00000446930, ENSP00000417182, ENSP00000447631, ENSP00000446847	ENSMUSP00000093120
ENOG410VI33	ENSP00000215530	ENSMUSP00000020577
ENOG410VI32	ENSP00000260270	ENSMUSP00000034552
ENOG410WDFZ	ENSP00000296122, ENSP00000326031	ENSMUSP00000015100
ENOG410WDFJ	ENSP00000296682	ENSMUSP00000131871
ENOG410WDFB	ENSP00000279387	ENSMUSP00000032936
ENOG410V6H9	ENSP00000226225, ENSP00000459080, ENSP00000311202, ENSP00000228495	ENSMUSP00000001125, ENSMUSP00000017759, ENSMUSP00000032924
ENOG410V6H8	ENSP00000363431, ENSP00000458179, ENSP00000458652, ENSP00000354652	ENSMUSP00000040797, ENSMUSP00000056576, ENSMUSP00000045530
ENOG410V6H1	ENSP00000338010	ENSMUSP00000033000
ENOG410V6H0	ENSP00000369513	ENSMUSP00000105168
ENOG410V6H3	ENSP00000255226, ENSP00000390637	ENSMUSP00000025434, ENSMUSP00000125114
ENOG410V6H2	ENSP00000370381, ENSP00000402152, ENSP00000262461	ENSMUSP00000111023, ENSMUSP00000034218, ENSMUSP00000028630
ENOG410V6H5	ENSP00000384198	ENSMUSP00000130864
ENOG410V6H4	ENSP00000262768	ENSMUSP00000017610
ENOG410V6H7	ENSP00000317578, ENSP00000312262	ENSMUSP00000070445, ENSMUSP00000025791
ENOG410V6H6	ENSP00000272134, ENSP00000355785	ENSMUSP00000041427, ENSMUSP00000082952
ENOG410V6HI	ENSP00000446916, ENSP00000455032	ENSMUSP00000069833
ENOG410V6HK	ENSP00000348381, ENSP00000264436, ENSP00000264758	ENSMUSP00000032069, ENSMUSP00000109979, ENSMUSP00000025999
ENOG410V6HM	ENSP00000262633	ENSMUSP00000040005
ENOG410V6HN	ENSP00000299563	ENSMUSP00000079631
ENOG410V6HA	ENSP00000260302, ENSP00000322788, ENSP00000458496, ENSP00000260229, ENSP00000458585, ENSP00000236826, ENSP00000460695, ENSP00000299855, ENSP00000279441	ENSMUSP00000015394, ENSMUSP00000034497, ENSMUSP00000034488, ENSMUSP00000091423, ENSMUSP00000047261, ENSMUSP00000034492, ENSMUSP00000018765, ENSMUSP00000005950
ENOG410V6HC	ENSP00000242285, ENSP00000309415	ENSMUSP00000089198, ENSMUSP00000103483
ENOG410V6HB	ENSP00000431284, ENSP00000228307, ENSP00000378332	ENSMUSP00000068529, ENSMUSP00000025601, ENSMUSP00000083709
ENOG410V6HE	ENSP00000221455, ENSP00000417901	ENSMUSP00000083205, ENSMUSP00000106018
ENOG410V6HD	ENSP00000297156	ENSMUSP00000021963
ENOG410V6HG	ENSP00000262623, ENSP00000302397, ENSP00000354490, ENSP00000357060, ENSP00000218548, ENSP00000295598	ENSMUSP00000007340, ENSMUSP00000039657, ENSMUSP00000083077, ENSMUSP00000106874, ENSMUSP00000131964, ENSMUSP00000099922
ENOG410V6HF	ENSP00000260665	ENSMUSP00000107927
ENOG410V6HY	ENSP00000458419, ENSP00000384144	ENSMUSP00000068594
ENOG410V6HX	ENSP00000264360	ENSMUSP00000131073
ENOG410V6HZ	ENSP00000258821	ENSMUSP00000006451
ENOG410V6HQ	ENSP00000361597	ENSMUSP00000017911
ENOG410V6HP	ENSP00000328358	ENSMUSP00000023799
ENOG410V6HR	ENSP00000309092	ENSMUSP00000036898
ENOG410V6HU	ENSP00000356540	ENSMUSP00000046243
ENOG410V6HT	ENSP00000373873, ENSP00000293218	ENSMUSP00000021116, ENSMUSP00000039670
ENOG410V6HW	ENSP00000378360	ENSMUSP00000044556
ENOG410V6HV	ENSP00000414670	ENSMUSP00000093315
ENOG410VC7G	ENSP00000262662	ENSMUSP00000070313
ENOG410VBSM	ENSP00000379294	ENSMUSP00000133140
ENOG410VBSN	ENSP00000342538	ENSMUSP00000074113
ENOG410VBSH	ENSP00000222990	ENSMUSP00000031539
ENOG410VBSI	ENSP00000341327, ENSP00000305133	ENSMUSP00000038591, ENSMUSP00000066031
ENOG410VBSD	ENSP00000354341	ENSMUSP00000065200
ENOG410VBSF	ENSP00000229243	ENSMUSP00000085632
ENOG410VBSA	ENSP00000362979	ENSMUSP00000137450, ENSMUSP00000096745
ENOG410VBSB	ENSP00000264020, ENSP00000470937	ENSMUSP00000002099
ENOG410VBSX	ENSP00000320232	ENSMUSP00000127017
ENOG410VBSY	ENSP00000225573	ENSMUSP00000018803
ENOG410VBSZ	ENSP00000328732, ENSP00000323670	ENSMUSP00000057856, ENSMUSP00000047333
ENOG410VBST	ENSP00000352167	ENSMUSP00000021693
ENOG410VBSU	ENSP00000472530, ENSP00000331471, ENSP00000294172, ENSP00000469776, ENSP00000361835	ENSMUSP00000010241, ENSMUSP00000033784
ENOG410VBSV	ENSP00000381577	ENSMUSP00000137430
ENOG410VBSW	ENSP00000394876, ENSP00000414880, ENSP00000398660, ENSP00000390784, ENSP00000372696	ENSMUSP00000084823
ENOG410VBSQ	ENSP00000333537	ENSMUSP00000056401
ENOG410VBSS	ENSP00000261835	ENSMUSP00000021684
ENOG410VBS8	ENSP00000263897	ENSMUSP00000105680
ENOG410VBS5	ENSP00000312697	ENSMUSP00000099748
ENOG410VBS6	ENSP00000367197	ENSMUSP00000021770
ENOG410VBS7	ENSP00000329454, ENSP00000363516	ENSMUSP00000039473, ENSMUSP00000030606
ENOG410VBS2	ENSP00000427550	ENSMUSP00000025425
ENOG410V8M9	ENSP00000302079	ENSMUSP00000048092
ENOG410V8AG	ENSP00000350071, ENSP00000375777, ENSP00000263918	ENSMUSP00000019220, ENSMUSP00000013130, ENSMUSP00000120830
ENOG410VDSC	ENSP00000355428	ENSMUSP00000072872
ENOG410VKPX	ENSP00000336543	ENSMUSP00000136053
ENOG410VKPJ	ENSP00000468909	ENSMUSP00000083736
ENOG410WCJY	ENSP00000318799	ENSMUSP00000026120
ENOG410WCJU	ENSP00000345405	ENSMUSP00000046216
ENOG410WCJ8	ENSP00000265007	ENSMUSP00000037519
ENOG410WE5R	ENSP00000347161	ENSMUSP00000048859
ENOG410VMA0	ENSP00000328335	ENSMUSP00000066705, ENSMUSP00000112767
ENOG410VMA5	ENSP00000431116	ENSMUSP00000026554
ENOG410VMAW	ENSP00000289373	ENSMUSP00000137225, ENSMUSP00000108694, ENSMUSP00000073355, ENSMUSP00000118704
ENOG410VMAV	ENSP00000351214	ENSMUSP00000030851
ENOG410VMAZ	ENSP00000381468	ENSMUSP00000095165
ENOG410VMAC	ENSP00000315370	ENSMUSP00000094321
ENOG410V6A0	ENSP00000285518	ENSMUSP00000117025
ENOG410V6A7	ENSP00000216274	ENSMUSP00000022830
ENOG410V6AC	ENSP00000317714	ENSMUSP00000033075
ENOG410V6AD	ENSP00000225430	ENSMUSP00000017548
ENOG410V6AI	ENSP00000321108	ENSMUSP00000113115
ENOG410V6AX	ENSP00000459789, ENSP00000301459, ENSP00000413929	ENSMUSP00000073004, ENSMUSP00000112089, ENSMUSP00000108996
ENOG410V6U8	ENSP00000348886	ENSMUSP00000030169
ENOG410V6U9	ENSP00000359727	ENSMUSP00000042009
ENOG410V6U6	ENSP00000365596	ENSMUSP00000052404
ENOG410V6U7	ENSP00000339238	ENSMUSP00000052005
ENOG410V6U4	ENSP00000296145	ENSMUSP00000035075
ENOG410V6U2	ENSP00000406970	ENSMUSP00000131126
ENOG410V6U0	ENSP00000369042, ENSP00000256079	ENSMUSP00000046759, ENSMUSP00000081782
ENOG410V6UN	ENSP00000340465, ENSP00000272542	ENSMUSP00000065935, ENSMUSP00000028880
